"State_arrived","state_departed","movement_estimate","movement_moe"
"District of Columbia","New Mexico",466,736
"District of Columbia","New York",4314,1272
"District of Columbia","North Carolina",1481,798
"District of Columbia","North Dakota",0,218
"District of Columbia","Ohio",755,491
"District of Columbia","Oklahoma",185,194
"District of Columbia","Oregon",172,191
"District of Columbia","Pennsylvania",1718,573
"District of Columbia","Rhode Island",138,160
"District of Columbia","South Carolina",568,373
"District of Columbia","South Dakota",250,342
"District of Columbia","Tennessee",991,540
"District of Columbia","Texas",2073,1067
"District of Columbia","Utah",0,218
"District of Columbia","Vermont",54,125
"District of Columbia","Virginia",8828,1835
"District of Columbia","Washington",852,601
"District of Columbia","West Virginia",324,331
"District of Columbia","Wisconsin",362,321
"District of Columbia","Wyoming",0,218
"District of Columbia","Puerto Rico",213,268
"Florida","Alabama",15153,3732
"Florida","Alaska",4906,2973
"Florida","Arizona",7054,1871
"Florida","Arkansas",3544,2650
"Florida","California",28628,3411
"Florida","Colorado",13656,2848
"Florida","Connecticut",13227,2834
"Florida","Delaware",3083,1616
"Florida","District of Columbia",2705,1045
"Florida","Florida",NA,NA
"Florida","Georgia",49681,7543
"Florida","Hawaii",4103,1965
"Florida","Idaho",1032,780
"Florida","Illinois",24425,3747
"Florida","Indiana",18175,3105
"Florida","Iowa",3669,1864
"Florida","Kansas",1813,1257
"Florida","Kentucky",10545,2602
"Florida","Louisiana",8606,3712
"Florida","Maine",4812,1938
"Florida","Maryland",14831,4063
"Florida","Massachusetts",17056,2945
"Florida","Michigan",21668,3428
"Florida","Minnesota",6239,1883
"Florida","Mississippi",4572,1590
"Florida","Missouri",11326,2873
"Florida","Montana",591,490
"Florida","Nebraska",1948,1201
"Florida","Nevada",3674,1527
"Florida","New Hampshire",3529,1414
"Florida","New Jersey",28222,5178
"Florida","New Mexico",2349,1108
"Florida","New York",57488,6921
"Florida","North Carolina",28207,5185
"Florida","North Dakota",1230,965
"Florida","Ohio",30335,5274
"Florida","Oklahoma",6488,3637
"Florida","Oregon",4309,2281
"Florida","Pennsylvania",34965,5197
"Florida","Rhode Island",2685,1472
"Florida","South Carolina",9909,2400
"Florida","South Dakota",1364,1190
"Florida","Tennessee",14573,3508
"Florida","Texas",26174,4461
"Florida","Utah",3433,1501
"Florida","Vermont",3355,1951
"Florida","Virginia",26031,4671
"Florida","Washington",6870,2121
"Florida","West Virginia",2186,1256
"Florida","Wisconsin",6563,1669
"Florida","Wyoming",624,379
"Florida","Puerto Rico",14657,3664
"Georgia","Alabama",14169,4265
"Georgia","Alaska",1378,875
"Georgia","Arizona",2362,1293
"Georgia","Arkansas",3322,2593
"Georgia","California",15437,3428
"Georgia","Colorado",2904,1283
"Georgia","Connecticut",2927,2795
"Georgia","Delaware",1076,878
"Georgia","District of Columbia",934,734
"Georgia","Florida",46235,6953
"Georgia","Georgia",NA,NA
"Georgia","Hawaii",2069,1928
"Georgia","Idaho",159,170
"Georgia","Illinois",14438,4356
"Georgia","Indiana",3020,1545
"Georgia","Iowa",1566,826
"Georgia","Kansas",3931,2274
"Georgia","Kentucky",2614,1277
"Georgia","Louisiana",2845,1403
"Georgia","Maine",252,220
"Georgia","Maryland",1992,859
"Georgia","Massachusetts",2876,1473
"Georgia","Michigan",4281,1804
"Georgia","Minnesota",968,517
"Georgia","Mississippi",5502,4472
"Georgia","Missouri",5863,4316
"Georgia","Montana",359,367
"Georgia","Nebraska",2881,3034
"Georgia","Nevada",1991,1142
"Georgia","New Hampshire",686,636
"Georgia","New Jersey",8455,3550
"Georgia","New Mexico",102,145
"Georgia","New York",14641,3907
"Georgia","North Carolina",15580,3240
"Georgia","North Dakota",0,234
"Georgia","Ohio",5146,1801
"Georgia","Oklahoma",1538,1034
"Georgia","Oregon",1024,669
"Georgia","Pennsylvania",7726,2394
"Georgia","Rhode Island",1016,1054
"Georgia","South Carolina",18828,4802
"Georgia","South Dakota",500,598
"Georgia","Tennessee",17210,4522
"Georgia","Texas",22452,3822
"Georgia","Utah",1182,603
"Georgia","Vermont",265,321
"Georgia","Virginia",11686,2946
"Georgia","Washington",2879,1414
"Georgia","West Virginia",408,330
"Georgia","Wisconsin",3898,2540
"Georgia","Wyoming",968,709
"Georgia","Puerto Rico",1906,1008
"Hawaii","Alabama",502,666
"Hawaii","Alaska",907,1268
"Hawaii","Arizona",803,404
"Hawaii","Arkansas",169,199
"Hawaii","California",10954,2345
"Hawaii","Colorado",2190,1152
"Hawaii","Connecticut",414,618
"Hawaii","Delaware",0,195
"Hawaii","District of Columbia",189,227
"Hawaii","Florida",1858,754
"Hawaii","Georgia",1836,1071
"Hawaii","Hawaii",NA,NA
"Hawaii","Idaho",1294,1284
"Hawaii","Illinois",568,490
"Hawaii","Indiana",318,353
"Hawaii","Iowa",0,195
"Hawaii","Kansas",466,446
"Hawaii","Kentucky",471,744
"Hawaii","Louisiana",117,214
"Hawaii","Maine",0,195
"Hawaii","Maryland",352,300
"Hawaii","Massachusetts",489,537
"Hawaii","Michigan",90,149
"Hawaii","Minnesota",500,406
"Hawaii","Mississippi",0,195
"Hawaii","Missouri",729,580
"Hawaii","Montana",625,661
"Hawaii","Nebraska",200,235
"Hawaii","Nevada",2641,1226
"Hawaii","New Hampshire",48,78
"Hawaii","New Jersey",668,691
"Hawaii","New Mexico",402,433
"Hawaii","New York",1940,1172
"Hawaii","North Carolina",3524,1711
"Hawaii","North Dakota",302,366
"Hawaii","Ohio",1271,687
"Hawaii","Oklahoma",131,186
"Hawaii","Oregon",1613,1018
"Hawaii","Pennsylvania",23,42
"Hawaii","Rhode Island",116,188
"Hawaii","South Carolina",189,324
"Hawaii","South Dakota",0,195
"Hawaii","Tennessee",586,413
"Hawaii","Texas",1667,792
"Hawaii","Utah",772,575
"Hawaii","Vermont",65,110
"Hawaii","Virginia",3107,1755
"Hawaii","Washington",4322,1592
"Hawaii","West Virginia",197,243
"Hawaii","Wisconsin",83,137
"Hawaii","Wyoming",0,195
"Hawaii","Puerto Rico",204,215
"Idaho","Alabama",19,33
"Idaho","Alaska",674,536
"Idaho","Arizona",5018,1928
"Idaho","Arkansas",386,467
"Idaho","California",17722,3839
"Idaho","Colorado",3970,2086
"Idaho","Connecticut",247,213
"Idaho","Delaware",58,99
"Idaho","District of Columbia",0,204
"Idaho","Florida",895,680
"Idaho","Georgia",397,191
"Idaho","Hawaii",599,431
"Idaho","Idaho",NA,NA
"Idaho","Illinois",268,213
"Idaho","Indiana",454,605
"Idaho","Iowa",14,24
"Idaho","Kansas",179,211
"Idaho","Kentucky",183,300
"Idaho","Louisiana",117,153
"Idaho","Maine",231,180
"Idaho","Maryland",385,346
"Idaho","Massachusetts",168,190
"Idaho","Michigan",607,535
"Idaho","Minnesota",324,336
"Idaho","Mississippi",192,265
"Idaho","Missouri",404,479
"Idaho","Montana",3026,911
"Idaho","Nebraska",304,398
"Idaho","Nevada",2093,721
"Idaho","New Hampshire",0,204
"Idaho","New Jersey",0,204
"Idaho","New Mexico",325,313
"Idaho","New York",194,300
"Idaho","North Carolina",541,496
"Idaho","North Dakota",179,227
"Idaho","Ohio",403,448
"Idaho","Oklahoma",1903,2087
"Idaho","Oregon",7570,2302
"Idaho","Pennsylvania",653,475
"Idaho","Rhode Island",0,204
"Idaho","South Carolina",305,239
"Idaho","South Dakota",308,521
"Idaho","Tennessee",344,404
"Idaho","Texas",3198,1887
"Idaho","Utah",7371,1923
"Idaho","Vermont",0,204
"Idaho","Virginia",1715,982
"Idaho","Washington",13505,4378
"Idaho","West Virginia",0,204
"Idaho","Wisconsin",620,973
"Idaho","Wyoming",662,570
"Idaho","Puerto Rico",0,204
"Illinois","Alabama",1658,1083
"Illinois","Alaska",135,131
"Illinois","Arizona",5054,1993
"Illinois","Arkansas",1202,849
"Illinois","California",14692,2703
"Illinois","Colorado",3455,1605
"Illinois","Connecticut",1783,1582
"Illinois","Delaware",213,294
"Illinois","District of Columbia",865,369
"Illinois","Florida",14534,2608
"Illinois","Georgia",3610,1333
"Illinois","Hawaii",767,536
"Illinois","Idaho",106,121
"Illinois","Illinois",NA,NA
"Illinois","Indiana",17156,3466
"Illinois","Iowa",10294,2056
"Illinois","Kansas",2307,971
"Illinois","Kentucky",3514,1217
"Illinois","Louisiana",805,389
"Illinois","Maine",564,539
"Illinois","Maryland",2572,1095
"Illinois","Massachusetts",3693,1689
"Illinois","Michigan",10396,1946
"Illinois","Minnesota",3930,1108
"Illinois","Mississippi",765,680
"Illinois","Missouri",13389,2892
"Illinois","Montana",37,60
"Illinois","Nebraska",1772,1427
"Illinois","Nevada",1394,849
"Illinois","New Hampshire",507,464
"Illinois","New Jersey",3562,1647
"Illinois","New Mexico",631,398
"Illinois","New York",8032,3351
"Illinois","North Carolina",4792,1828
"Illinois","North Dakota",445,496
"Illinois","Ohio",7684,1782
"Illinois","Oklahoma",2326,962
"Illinois","Oregon",1214,741
"Illinois","Pennsylvania",4591,1572
"Illinois","Rhode Island",143,168
"Illinois","South Carolina",1518,935
"Illinois","South Dakota",285,296
"Illinois","Tennessee",2518,693
"Illinois","Texas",9106,1782
"Illinois","Utah",326,248
"Illinois","Vermont",74,113
"Illinois","Virginia",5338,2314
"Illinois","Washington",4364,1395
"Illinois","West Virginia",379,368
"Illinois","Wisconsin",12021,3288
"Illinois","Wyoming",109,134
"Illinois","Puerto Rico",714,417
